country,region,WorldHappiness2022
Madagascar,Africa,4.339
Egypt,Africa,4.288
Chad,Africa,4.251
Ethiopia,Africa,4.241
Yemen,Asia,4.197
Mauritania,Africa,4.153
Jordan,Asia,4.152
Togo,Africa,4.112
Sri Lanka,Asia,4.0
India,Asia,3.777
Zambia,Africa,3.76
Malawi,Africa,3.75
Tanzania,Africa,3.702
Sierra Leone,Africa,3.574
Lesotho,Africa,3.512
Botswana,Africa,3.471
Rwanda,Africa,3.268
Zimbabwe,Africa,2.995
Lebanon,Asia,2.955
Afghanistan,Asia,2.404
